horas_estudo,faltas,nota_p1,resultado
8.5,6,2.6,Reprovado
22.9,7,4.7,Reprovado
39.3,6,7.2,Aprovado
28.0,5,6.1,Aprovado
33.5,4,8.1,Aprovado
13.7,4,3.9,Reprovado
32.2,5,5.4,Reprovado
11.3,4,4.4,Reprovado
30.1,4,7.7,Aprovado
13.1,7,3.8,Reprovado
20.1,7,3.8,Reprovado
25.3,6,7.3,Aprovado
16.8,4,2.7,Reprovado
28.3,5,8.3,Aprovado
7.0,7,0.6,Reprovado
30.5,6,6.7,Aprovado
18.4,7,3.5,Reprovado
16.4,2,3.5,Reprovado
36.9,2,8.8,Aprovado
29.7,5,7.6,Aprovado
18.1,6,4.1,Reprovado
13.8,4,4.9,Reprovado
8.6,9,1.5,Reprovado
26.9,3,7.8,Aprovado
8.9,9,2.0,Reprovado
21.1,4,3.5,Reprovado
32.7,1,8.1,Aprovado
20.2,7,2.2,Reprovado
25.2,3,6.2,Aprovado
23.9,5,5.6,Reprovado
22.8,7,4.8,Reprovado
20.6,5,5.2,Reprovado
27.0,4,6.2,Aprovado
30.1,5,5.9,Reprovado
11.6,6,3.3,Reprovado
13.7,9,2.1,Reprovado
35.6,2,10,Aprovado
7.7,5,2.2,Reprovado
36.8,5,8.9,Aprovado
4.5,9,1.1,Reprovado
28.1,5,5.5,Reprovado
13.5,7,3.1,Reprovado
13.4,6,4.3,Reprovado
33.0,4,5.1,Reprovado
23.2,2,5.8,Reprovado
36.7,4,8.4,Aprovado
18.7,8,3.7,Reprovado
26.1,5,5.1,Reprovado
16.9,4,4.3,Reprovado
34.0,4,7.6,Aprovado
2.7,9,0.8,Reprovado
30.3,3,5.7,Reprovado
14.9,8,3.6,Reprovado
25.0,4,6.6,Aprovado
8.3,4,3.2,Reprovado
33.6,6,5.7,Reprovado
14.6,5,4.6,Reprovado
32.9,5,10.0,Aprovado
23.9,7,5.3,Reprovado
9.4,6,0.0,Reprovado
29.1,4,7.3,Aprovado
16.1,5,5.1,Reprovado
21.4,7,4.5,Reprovado
19.8,4,5.6,Reprovado
20.4,8,3.2,Reprovado
6.6,6,2.5,Reprovado
5.0,8,2.6,Reprovado
22.0,5,4.6,Reprovado
19.2,6,4.8,Reprovado
37.6,2,10,Aprovado
6.6,5,2.2,Reprovado
16.2,9,3.8,Reprovado
18.6,6,4.4,Reprovado
12.9,8,1.9,Reprovado
20.9,5,5.5,Reprovado
16.5,8,3.8,Reprovado
23.2,4,7.4,Aprovado
10.4,7,1.4,Reprovado
16.4,4,4.3,Reprovado
29.4,6,6.5,Aprovado
24.4,4,4.9,Reprovado
22.4,3,7.3,Aprovado
7.4,5,2.6,Reprovado
17.9,7,2.8,Reprovado
30.2,4,5.4,Reprovado
17.6,5,3.1,Reprovado
20.6,7,5.2,Reprovado
36.2,1,9.6,Aprovado
14.6,5,4.1,Reprovado
14.8,5,2.3,Reprovado
21.6,5,4.3,Reprovado
26.7,4,4.5,Reprovado
9.0,8,2.2,Reprovado
20.6,4,4.8,Reprovado
27.7,6,5.5,Reprovado
25.3,2,5.4,Reprovado
30.6,3,6.8,Aprovado
14.7,5,5.0,Reprovado
21.9,5,7.0,Aprovado
12.9,8,2.3,Reprovado
27.8,3,5.6,Reprovado
12.4,4,4.5,Reprovado
30.6,1,8.4,Aprovado
10.6,7,2.9,Reprovado
12.3,7,4.8,Reprovado
15.9,4,4.5,Reprovado
10.5,9,2.5,Reprovado
23.3,8,4.1,Reprovado
16.4,8,1.5,Reprovado
11.1,5,4.7,Reprovado
13.4,0,4.0,Reprovado
30.6,6,5.9,Reprovado
16.2,3,5.2,Reprovado
27.1,3,7.8,Aprovado
9.6,4,4.2,Reprovado
20.7,5,7.3,Aprovado
9.4,8,0.9,Reprovado
12.2,4,5.4,Reprovado
23.8,2,5.3,Reprovado
3.3,8,1.3,Reprovado
30.7,5,7.2,Aprovado
9.9,6,2.3,Reprovado
27.4,5,6.4,Aprovado
33.3,6,8.7,Aprovado
13.0,7,4.0,Reprovado
11.1,5,4.8,Reprovado
26.9,6,4.9,Reprovado
23.8,4,6.7,Aprovado
33.5,4,8.2,Aprovado
28.1,1,7.3,Aprovado
26.1,3,8.1,Aprovado
26.6,7,7.5,Aprovado
24.4,4,6.8,Aprovado
13.0,10,2.0,Reprovado
25.8,5,6.4,Aprovado
18.7,7,5.1,Reprovado
9.5,7,3.3,Reprovado
27.5,7,6.4,Aprovado
16.3,7,2.9,Reprovado
14.1,6,3.7,Reprovado
12.2,6,2.0,Reprovado
7.7,4,5.8,Reprovado
32.8,4,8.1,Aprovado
18.1,5,4.4,Reprovado
31.5,6,4.5,Reprovado
33.3,4,7.3,Aprovado
25.8,7,6.1,Aprovado
21.5,5,4.8,Reprovado
8.6,4,3.3,Reprovado
24.9,9,4.4,Reprovado
27.8,4,7.1,Aprovado
4.6,5,0,Reprovado
1.1,5,1.1,Reprovado
7.1,6,2.1,Reprovado
12.2,5,4.0,Reprovado
18.5,8,3.2,Reprovado
14.0,6,2.9,Reprovado
29.5,4,7.0,Aprovado
32.8,2,7.5,Aprovado
23.0,4,4.7,Reprovado
12.2,8,2.0,Reprovado
20.2,6,5.0,Reprovado
13.4,7,4.9,Reprovado
21.4,3,5.8,Reprovado
21.6,7,3.8,Reprovado
26.1,4,6.7,Aprovado
32.6,2,8.4,Aprovado
6.2,5,1.5,Reprovado
21.2,8,4.3,Reprovado
24.0,8,3.9,Reprovado
10.4,5,4.8,Reprovado
7.7,7,0,Reprovado
26.9,5,4.8,Reprovado
34.0,5,8.1,Aprovado
7.4,8,0.7,Reprovado
35.1,3,8.8,Aprovado
20.3,5,3.2,Reprovado
24.2,5,5.7,Reprovado
22.6,6,4.5,Reprovado
26.5,6,3.9,Reprovado
6.9,7,0.8,Reprovado
24.4,4,5.7,Reprovado
36.3,3,8.1,Aprovado
30.8,4,8.6,Aprovado
22.8,3,7.5,Aprovado
8.8,8,2.1,Reprovado
17.7,5,3.7,Reprovado
8.3,6,0,Reprovado
12.2,5,2.7,Reprovado
38.6,2,10,Aprovado
36.0,1,7.9,Aprovado
22.3,4,6.4,Aprovado
2.2,5,1.7,Reprovado
34.0,4,9.0,Aprovado
22.1,9,2.7,Reprovado
9.9,5,2.5,Reprovado
12.4,7,4.7,Reprovado
12.6,4,2.8,Reprovado
10.7,7,1.5,Reprovado
15.9,3,5.2,Reprovado
18.5,2,6.4,Aprovado
10.5,8,2.8,Reprovado
21.7,3,4.3,Reprovado
35.7,4,9.5,Aprovado
26.7,5,7.5,Aprovado
21.6,5,5.9,Reprovado
13.5,5,3.4,Reprovado
35.4,7,7.4,Aprovado
34.1,1,8.8,Aprovado
17.6,2,4.7,Reprovado
8.9,7,2.9,Reprovado
15.7,4,6.4,Aprovado
23.1,3,6.2,Aprovado
20.7,6,3.5,Reprovado
11.1,5,3.2,Reprovado
22.8,4,6.3,Aprovado
31.0,3,6.3,Aprovado
20.8,3,4.9,Reprovado
12.4,5,4.8,Reprovado
26.2,5,6.8,Aprovado
17.7,3,3.8,Reprovado
29.9,9,5.7,Reprovado
32.1,3,5.3,Reprovado
15.9,6,4.7,Reprovado
11.1,7,3.6,Reprovado
15.2,7,3.1,Reprovado
6.4,3,3.7,Reprovado
36.6,5,8.8,Aprovado
15.4,8,3.4,Reprovado
28.9,1,9.6,Aprovado
7.0,10,1.2,Reprovado
5.8,3,2.7,Reprovado
12.2,9,3.2,Reprovado
10.4,4,2.4,Reprovado
25.7,6,5.8,Reprovado
31.9,7,5.8,Reprovado
34.0,5,6.6,Aprovado
7.5,7,1.6,Reprovado
21.3,7,3.3,Reprovado
15.2,5,4.5,Reprovado
11.1,8,2.6,Reprovado
25.1,4,6.7,Aprovado
28.5,3,6.6,Aprovado
8.8,6,1.7,Reprovado
18.3,8,3.1,Reprovado
12.1,5,1.3,Reprovado
7.7,6,0.7,Reprovado
18.9,7,3.4,Reprovado
14.1,9,2.5,Reprovado
15.5,7,4.3,Reprovado
18.9,6,3.5,Reprovado
34.0,4,8.3,Aprovado
23.5,3,6.1,Aprovado
23.8,7,7.6,Aprovado
17.9,6,2.9,Reprovado
30.1,5,6.5,Aprovado
7.8,5,3.9,Reprovado
30.8,5,8.2,Aprovado
37.6,5,7.8,Aprovado
32.1,3,7.1,Aprovado
19.4,7,3.4,Reprovado
20.2,7,5.1,Reprovado
21.7,5,6.2,Aprovado
20.9,9,5.3,Reprovado
15.6,6,4.6,Reprovado
34.5,4,8.3,Aprovado
10.4,5,1.2,Reprovado
32.1,3,7.0,Aprovado
7.2,8,0,Reprovado
5.2,8,0.8,Reprovado
16.6,6,5.1,Reprovado
18.0,4,6.2,Aprovado
27.9,6,6.8,Aprovado
13.8,9,0.1,Reprovado
17.7,5,5.3,Reprovado
23.6,7,4.7,Reprovado
21.8,7,4.7,Reprovado
26.0,1,6.5,Aprovado
36.8,3,9.5,Aprovado
15.5,4,4.5,Reprovado
15.7,2,5.4,Reprovado
26.6,6,6.6,Aprovado
24.4,5,5.9,Reprovado
21.6,4,5.2,Reprovado
16.5,6,2.0,Reprovado
5.5,9,0.9,Reprovado
34.2,4,6.8,Aprovado
23.0,7,3.4,Reprovado
31.0,5,5.8,Reprovado
27.5,7,6.4,Aprovado
13.2,7,2.2,Reprovado
26.2,5,5.4,Reprovado
16.3,8,2.7,Reprovado
30.7,5,5.4,Reprovado
23.9,5,5.5,Reprovado
28.8,2,7.0,Aprovado
26.8,6,6.3,Aprovado
33.3,4,6.7,Aprovado
18.5,5,3.4,Reprovado
26.9,3,6.9,Aprovado
25.5,2,6.0,Aprovado
19.5,6,6.2,Aprovado
22.0,8,3.1,Reprovado
28.9,1,8.2,Aprovado
22.6,6,4.6,Reprovado
15.2,7,4.8,Reprovado
26.0,5,5.8,Reprovado
15.2,3,4.1,Reprovado
33.5,3,7.0,Aprovado
7.6,8,1.7,Reprovado
17.3,5,4.6,Reprovado
15.5,9,1.3,Reprovado
5.0,10,0.2,Reprovado
30.8,7,5.7,Reprovado
11.4,9,2.1,Reprovado
17.0,6,3.4,Reprovado
18.9,7,3.8,Reprovado
17.4,7,1.8,Reprovado
20.1,6,4.6,Reprovado
22.0,3,3.8,Reprovado
27.2,4,7.9,Aprovado
24.4,4,6.7,Aprovado
29.0,3,7.5,Aprovado
16.2,2,4.4,Reprovado
24.2,6,5.9,Reprovado
25.2,4,7.3,Aprovado
18.0,6,5.0,Reprovado
9.3,10,1.2,Reprovado
24.6,4,5.6,Reprovado
24.7,6,3.9,Reprovado
8.1,4,2.0,Reprovado
11.2,7,2.6,Reprovado
7.5,5,1.2,Reprovado
8.3,9,0.9,Reprovado
23.1,7,5.3,Reprovado
26.0,4,7.1,Aprovado
15.5,2,3.3,Reprovado
30.6,5,5.2,Reprovado
18.2,4,4.8,Reprovado
16.5,4,3.4,Reprovado
20.3,8,5.7,Reprovado
21.3,5,5.0,Reprovado
13.6,7,3.7,Reprovado
14.4,5,3.4,Reprovado
17.7,8,2.3,Reprovado
20.3,5,4.6,Reprovado
17.0,6,3.4,Reprovado
19.5,6,2.9,Reprovado
28.1,3,7.0,Aprovado
29.8,5,7.6,Aprovado
14.6,9,2.2,Reprovado
17.7,6,4.5,Reprovado
18.1,3,4.6,Reprovado
13.3,6,2.5,Reprovado
27.7,6,5.0,Reprovado
14.4,5,3.0,Reprovado
32.2,7,7.1,Aprovado
12.6,7,4.4,Reprovado
6.6,7,1.2,Reprovado
23.5,2,6.0,Aprovado
4.6,6,1.9,Reprovado
15.0,9,1.9,Reprovado
16.8,4,3.3,Reprovado
27.2,5,7.5,Aprovado
31.5,4,5.6,Reprovado
14.2,6,3.2,Reprovado
19.2,6,4.7,Reprovado
15.0,7,2.4,Reprovado
5.2,7,1.4,Reprovado
17.7,5,5.3,Reprovado
16.8,7,3.5,Reprovado
28.0,4,6.8,Aprovado
36.2,2,9.1,Aprovado
30.5,4,6.0,Aprovado
18.9,4,3.7,Reprovado
3.6,7,1.5,Reprovado
17.1,5,5.1,Reprovado
39.5,1,9.3,Aprovado
24.8,9,3.8,Reprovado
10.7,8,0.3,Reprovado
26.6,5,6.2,Aprovado
15.9,8,3.1,Reprovado
6.7,5,0.9,Reprovado
33.3,8,5.8,Reprovado
21.0,5,5.7,Reprovado
16.7,6,5.0,Reprovado
25.0,5,7.7,Aprovado
17.2,4,3.6,Reprovado
24.7,5,5.5,Reprovado
3.4,8,0,Reprovado
13.1,6,3.2,Reprovado
5.4,7,0,Reprovado
29.7,3,6.7,Aprovado
23.9,4,6.0,Aprovado
39.3,2,9.3,Aprovado
23.4,6,6.4,Aprovado
8.7,8,2.0,Reprovado
20.1,6,3.5,Reprovado
17.2,3,5.6,Reprovado
28.7,3,5.0,Reprovado
19.2,7,3.4,Reprovado
21.0,6,4.1,Reprovado
10.5,8,4.6,Reprovado
22.4,2,5.9,Reprovado
29.3,3,8.9,Aprovado
11.7,4,2.9,Reprovado
12.2,7,2.3,Reprovado
19.6,6,4.5,Reprovado
28.2,7,4.9,Reprovado
18.9,7,5.7,Reprovado
17.2,6,2.8,Reprovado
13.6,5,3.5,Reprovado
16.2,3,4.5,Reprovado
22.4,5,5.8,Reprovado
34.5,6,7.1,Aprovado
24.6,2,7.2,Aprovado
25.2,6,6.2,Aprovado
6.2,5,3.2,Reprovado
16.4,6,2.9,Reprovado
17.7,6,2.8,Reprovado
24.8,5,5.2,Reprovado
10.8,4,3.2,Reprovado
9.9,5,3.4,Reprovado
18.7,8,4.3,Reprovado
23.8,7,7.5,Aprovado
18.0,7,3.9,Reprovado
15.1,6,1.8,Reprovado
12.3,4,3.1,Reprovado
26.7,3,6.3,Aprovado
2.7,8,0.7,Reprovado
26.5,6,6.1,Aprovado
18.0,5,5.6,Reprovado
14.2,7,2.6,Reprovado
35.1,1,9.6,Aprovado
31.7,1,8.9,Aprovado
29.9,3,8.0,Aprovado
12.7,5,3.4,Reprovado
13.1,5,1.2,Reprovado
22.6,5,5.1,Reprovado
3.5,6,2.8,Reprovado
30.5,6,6.6,Aprovado
25.7,3,5.1,Reprovado
24.7,7,5.8,Reprovado
27.2,6,5.4,Reprovado
32.6,5,6.4,Aprovado
16.4,6,0.8,Reprovado
10.4,5,2.3,Reprovado
35.6,4,6.7,Aprovado
6.8,9,1.8,Reprovado
17.5,9,2.6,Reprovado
14.0,6,3.4,Reprovado
22.8,4,4.2,Reprovado
25.4,2,7.0,Aprovado
15.2,7,1.6,Reprovado
30.1,5,4.6,Reprovado
7.0,5,3.4,Reprovado
33.3,4,7.2,Aprovado
29.5,5,3.8,Reprovado
23.5,4,4.8,Reprovado
9.0,5,5.1,Reprovado
26.4,6,2.7,Reprovado
35.8,3,9.3,Aprovado
22.3,3,5.2,Reprovado
23.6,4,6.1,Aprovado
12.1,5,2.3,Reprovado
26.7,2,7.0,Aprovado
32.4,2,6.9,Aprovado
7.3,7,0.9,Reprovado
22.9,4,6.3,Aprovado
10.5,7,3.4,Reprovado
18.2,6,3.8,Reprovado
12.8,5,2.6,Reprovado
22.6,3,6.1,Aprovado
19.5,6,3.6,Reprovado
13.5,7,2.1,Reprovado
21.7,5,4.7,Reprovado
17.3,2,4.3,Reprovado
18.1,6,5.8,Reprovado
17.3,6,3.2,Reprovado
20.1,4,6.2,Aprovado
18.4,10,2.0,Reprovado
22.4,3,5.1,Reprovado
10.2,5,0.2,Reprovado
21.8,9,6.6,Reprovado
33.7,5,6.5,Aprovado
34.1,5,7.6,Aprovado
27.5,2,6.6,Aprovado
25.2,6,4.5,Reprovado
19.5,4,4.7,Reprovado
8.6,5,2.8,Reprovado
17.1,3,4.9,Reprovado
10.2,8,3.3,Reprovado
31.6,8,4.2,Reprovado
34.6,6,8.2,Aprovado
33.0,6,6.2,Aprovado
17.0,9,2.5,Reprovado
16.7,6,3.4,Reprovado
28.0,3,5.9,Reprovado
22.3,6,2.8,Reprovado
19.1,8,4.9,Reprovado
17.4,5,4.5,Reprovado
24.0,5,6.4,Aprovado
7.1,8,0,Reprovado
34.2,3,6.8,Aprovado
21.2,8,3.0,Reprovado
25.5,7,5.7,Reprovado
18.4,5,3.4,Reprovado
9.0,8,2.8,Reprovado
8.0,6,2.4,Reprovado
9.9,5,2.2,Reprovado
19.0,3,5.0,Reprovado
7.5,5,0.9,Reprovado
13.4,6,2.8,Reprovado
31.7,2,7.3,Aprovado
9.3,4,2.8,Reprovado
29.5,4,5.6,Reprovado
12.1,8,2.6,Reprovado
2.4,7,0.6,Reprovado
15.3,6,3.5,Reprovado
28.2,4,6.7,Aprovado
34.5,1,9.5,Aprovado
9.7,7,1.7,Reprovado
14.0,7,4.2,Reprovado
16.8,6,4.2,Reprovado
20.2,6,4.0,Reprovado
32.9,5,7.2,Aprovado
36.5,2,7.3,Aprovado
30.6,2,5.1,Reprovado
34.6,2,8.7,Aprovado
18.6,5,2.5,Reprovado
31.6,5,7.5,Aprovado
27.8,3,6.3,Aprovado
18.0,4,4.0,Reprovado
21.7,7,4.3,Reprovado
27.6,5,5.2,Reprovado
37.1,0,9.2,Aprovado
19.0,3,3.9,Reprovado
28.1,3,8.4,Aprovado
21.6,6,3.3,Reprovado
7.0,6,4.0,Reprovado
35.6,5,8.6,Aprovado
23.3,5,5.5,Reprovado
11.7,8,2.5,Reprovado
28.4,4,7.4,Aprovado
32.0,2,8.9,Aprovado
15.2,8,1.1,Reprovado
34.7,3,7.2,Aprovado
34.2,4,7.2,Aprovado
3.0,5,0.4,Reprovado
34.9,3,8.5,Aprovado
16.3,6,3.6,Reprovado
18.7,8,4.3,Reprovado
16.6,7,3.0,Reprovado
7.0,6,0.6,Reprovado
24.1,6,5.8,Reprovado
4.6,7,0.8,Reprovado
19.9,8,4.6,Reprovado
21.1,5,6.5,Aprovado
14.9,6,4.2,Reprovado
10.5,2,4.1,Reprovado
25.7,4,5.6,Reprovado
4.0,5,0.6,Reprovado
16.9,2,6.8,Aprovado
11.3,6,3.2,Reprovado
23.2,4,7.6,Aprovado
27.4,5,5.6,Reprovado
4.7,5,2.5,Reprovado
21.1,5,5.9,Reprovado
13.3,5,2.8,Reprovado
16.8,3,6.2,Aprovado
12.0,8,2.3,Reprovado
21.1,6,5.0,Reprovado
30.8,2,6.7,Aprovado
25.3,5,7.4,Aprovado
29.1,7,3.2,Reprovado
24.3,6,5.9,Reprovado
19.7,6,3.0,Reprovado
3.7,10,1.2,Reprovado
16.0,4,2.0,Reprovado
14.8,4,4.9,Reprovado
22.7,3,6.0,Aprovado
25.8,6,5.5,Reprovado
7.6,6,1.2,Reprovado
32.1,4,6.2,Aprovado
26.6,4,8.9,Aprovado
17.8,2,6.7,Aprovado
12.8,3,4.3,Reprovado
33.6,4,9.5,Aprovado
39.5,2,9.7,Aprovado
29.8,8,4.6,Reprovado
32.4,5,6.6,Aprovado
14.5,5,3.6,Reprovado
10.1,7,1.6,Reprovado
27.1,5,5.2,Reprovado
20.7,8,4.8,Reprovado
29.4,3,7.5,Aprovado
13.8,1,4.3,Reprovado
26.8,6,3.8,Reprovado
16.1,5,5.3,Reprovado
24.9,8,4.0,Reprovado
11.8,6,3.4,Reprovado
29.0,4,5.4,Reprovado
6.9,4,5.1,Reprovado
9.2,10,1.0,Reprovado
25.1,3,7.0,Aprovado
18.6,5,4.0,Reprovado
17.7,7,4.6,Reprovado
11.1,5,3.1,Reprovado
11.5,4,4.3,Reprovado
22.9,8,2.2,Reprovado
37.7,5,8.8,Aprovado
20.5,4,3.7,Reprovado
17.3,3,5.9,Reprovado
35.1,3,8.6,Aprovado
11.1,5,1.5,Reprovado
26.3,5,5.6,Reprovado
20.3,7,3.9,Reprovado
11.2,8,3.3,Reprovado
30.3,2,4.8,Reprovado
18.8,4,3.7,Reprovado
23.3,4,6.5,Aprovado
14.1,7,1.8,Reprovado
23.7,3,6.3,Aprovado
14.8,8,0.7,Reprovado
13.8,10,1.5,Reprovado
34.6,5,4.4,Reprovado
6.4,7,2.7,Reprovado
24.8,3,6.4,Aprovado
6.7,7,2.3,Reprovado
24.6,5,6.1,Aprovado
21.4,6,5.2,Reprovado
23.5,5,5.4,Reprovado
26.4,5,6.3,Aprovado
21.2,8,4.3,Reprovado
31.6,4,6.5,Aprovado
10.8,8,1.3,Reprovado
21.3,6,5.9,Reprovado
36.5,3,7.8,Aprovado
28.5,3,7.3,Aprovado
29.2,4,7.0,Aprovado
25.1,6,6.5,Aprovado
27.0,1,6.4,Aprovado
31.9,4,7.6,Aprovado
9.3,5,1.8,Reprovado
23.1,6,6.1,Aprovado
32.8,2,10,Aprovado
5.6,5,0.1,Reprovado
38.4,5,8.1,Aprovado
13.1,6,2.1,Reprovado
19.0,6,6.0,Aprovado
2.4,9,0,Reprovado
24.1,4,5.1,Reprovado
24.0,2,5.4,Reprovado
14.0,3,3.9,Reprovado
27.3,3,5.7,Reprovado
28.5,3,6.7,Aprovado
5.0,10,0,Reprovado
27.9,4,7.2,Aprovado
15.0,7,3.0,Reprovado
9.4,9,2.1,Reprovado
27.9,6,5.3,Reprovado
12.4,7,3.1,Reprovado
4.2,6,1.3,Reprovado
22.4,5,4.3,Reprovado
18.5,8,2.4,Reprovado
28.5,6,6.1,Aprovado
34.0,2,9.0,Aprovado
15.6,4,5.1,Reprovado
21.2,4,5.5,Reprovado
23.1,7,6.2,Aprovado
23.7,6,6.2,Aprovado
22.2,4,4.2,Reprovado
12.8,8,1.1,Reprovado
9.8,5,3.3,Reprovado
30.5,6,6.8,Aprovado
34.1,5,8.6,Aprovado
34.7,2,7.9,Aprovado
13.6,7,2.4,Reprovado
17.6,7,3.5,Reprovado
13.2,5,3.6,Reprovado
10.9,7,2.0,Reprovado
23.7,7,6.3,Aprovado
20.1,1,5.2,Reprovado
31.4,5,5.6,Reprovado
24.3,4,4.0,Reprovado
21.7,2,8.8,Aprovado
7.0,9,0,Reprovado
15.4,5,3.7,Reprovado
26.4,3,5.3,Reprovado
26.1,3,7.1,Aprovado
22.2,7,7.2,Aprovado
16.5,8,1.9,Reprovado
5.6,6,0.3,Reprovado
5.2,9,0,Reprovado
24.2,1,5.2,Reprovado
11.6,8,0,Reprovado
24.2,4,5.5,Reprovado
5.3,6,1.8,Reprovado
19.2,2,4.7,Reprovado
15.7,7,3.3,Reprovado
33.6,7,6.4,Aprovado
15.8,6,2.3,Reprovado
10.9,5,3.4,Reprovado
14.7,5,3.8,Reprovado
16.4,4,3.4,Reprovado
30.9,4,9.5,Aprovado
29.0,4,5.2,Reprovado
16.1,7,3.2,Reprovado
24.3,2,4.9,Reprovado
15.5,6,4.5,Reprovado
9.3,6,0.6,Reprovado
23.8,8,4.3,Reprovado
2.9,7,0,Reprovado
29.0,1,7.3,Aprovado
36.5,5,7.6,Aprovado
29.3,7,7.0,Aprovado
24.9,6,4.9,Reprovado
11.2,6,4.0,Reprovado
23.8,7,4.1,Reprovado
21.6,3,7.9,Aprovado
20.4,4,6.3,Aprovado
10.5,6,2.0,Reprovado
17.4,4,5.8,Reprovado
39.0,3,10,Aprovado
28.9,7,6.4,Aprovado
29.5,6,5.2,Reprovado
12.4,9,2.5,Reprovado
24.1,5,6.6,Aprovado
17.2,3,3.4,Reprovado
6.2,10,1.1,Reprovado
18.5,3,5.3,Reprovado
21.8,5,3.3,Reprovado
5.6,7,1.9,Reprovado
5.2,6,2.3,Reprovado
33.9,5,6.5,Aprovado
26.8,2,5.8,Reprovado
8.4,8,1.4,Reprovado
25.3,5,6.0,Aprovado
19.5,5,4.2,Reprovado
20.8,6,4.1,Reprovado
5.2,9,1.0,Reprovado
25.0,3,6.2,Aprovado
15.4,6,4.6,Reprovado
35.6,4,6.8,Aprovado
10.8,8,2.9,Reprovado
17.2,5,3.0,Reprovado
21.0,5,6.5,Aprovado
15.3,8,4.4,Reprovado
32.4,4,7.0,Aprovado
7.3,7,1.1,Reprovado
34.1,6,6.5,Aprovado
32.9,3,7.4,Aprovado
15.0,6,1.3,Reprovado
21.3,5,7.7,Aprovado
15.6,4,3.6,Reprovado
31.3,5,7.0,Aprovado
10.2,8,2.0,Reprovado
18.5,2,6.2,Aprovado
19.4,6,4.3,Reprovado
29.6,6,5.5,Reprovado
33.4,0,9.6,Aprovado
16.2,4,3.9,Reprovado
31.9,5,8.4,Aprovado
16.5,6,2.9,Reprovado
27.0,3,4.7,Reprovado
32.3,4,6.9,Aprovado
29.5,6,4.7,Reprovado
16.3,8,1.1,Reprovado
19.4,6,3.7,Reprovado
17.3,7,1.8,Reprovado
22.3,5,3.8,Reprovado
13.5,5,1.8,Reprovado
6.3,7,0.8,Reprovado
3.4,8,0.8,Reprovado
32.8,1,9.1,Aprovado
6.1,8,0,Reprovado
19.6,6,4.0,Reprovado
13.6,8,1.6,Reprovado
32.6,3,7.2,Aprovado
8.6,6,3.5,Reprovado
23.3,4,4.8,Reprovado
23.6,7,6.0,Aprovado
32.7,7,4.9,Reprovado
9.2,5,3.4,Reprovado
18.7,5,3.4,Reprovado
15.0,5,4.8,Reprovado
10.6,7,1.9,Reprovado
23.4,5,7.6,Aprovado
24.6,5,6.2,Aprovado
12.8,6,3.7,Reprovado
14.5,6,2.6,Reprovado
27.5,6,6.9,Aprovado
21.9,5,4.2,Reprovado
26.4,4,6.6,Aprovado
